time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,-1088.70766746097,1.0204062083456673,-306.51532224447743,1.0126623542783069
21.0,158.3628496985098,2.055585986162251,3.5669422167630116,2.0196436567306537
35.0,1078.0356589351015,2.6993197560772715,277.75440265481217,2.692432133088344
49.0,-1082.2302296944927,3.215371946491622,-307.88657689563394,3.1862560560373843
63.0,-295.19128832641013,3.75165594086035,-124.16291936628359,3.671522287996751
77.0,699.2047647743921,4.244696857434687,160.3726650003493,4.196590051537025
91.0,-274.0642351207884,4.6511355672565715,-78.87026251912059,4.63865547301969
105.0,469.77772938546576,4.945497808527715,119.96319216072008,4.935959170282467
119.0,110.26739182856628,5.307280709227723,-3.202087524491156,5.227106640496331
133.0,258.1202060276954,5.5820493459384775,54.26808790602947,5.545897008263916
147.0,234.01029499170386,5.831484902734221,52.06434437763227,5.803255629943987
161.0,-942.3167062161135,6.056851726894417,-251.14307366918445,6.049476082495133
175.0,741.093510316218,6.285951439918388,192.97851136787148,6.273174078565852
189.0,-371.2022844771468,6.5221144300833735,-105.30217212170838,6.496010788990159
203.0,358.7176803945638,6.774101477281563,86.82961404979943,6.747099352599441
217.0,-340.89979067656355,6.986444253308791,-85.86628953144542,7.004160113737404
231.0,-956.1762857440795,7.206815123297618,-270.7876154841038,7.153109224923844
245.0,914.6629343377954,7.417154037715516,216.1279187581363,7.325222228968555
259.0,-860.343098689567,7.629411684609706,-260.0497258211177,7.505840452931822
273.0,940.3501806140474,7.770971858945981,221.71451753180938,7.657940917033185
287.0,-92.00147894740762,7.915461984955695,-45.16466712469793,7.826600872218068
301.0,720.0847875421889,8.079015868402621,187.0627682449871,8.053096259298268
315.0,-558.9368174861155,8.331624157899107,-141.21257809537983,8.34169806449787
329.0,-296.4143956524751,8.502214011563806,-100.35657754429324,8.390578070756193
343.0,-301.0317904884219,8.619845956300644,-95.10542730533756,8.52821832751276
357.0,-492.0315385700832,8.684941675726908,-158.0933820299317,8.539538014911082
371.0,-283.88195586044964,8.81861757094328,-112.45532193970217,8.62833885252554
385.0,330.1118156422105,9.056492748258874,48.14433338930383,8.84691847387226
399.0,347.6319577617603,9.22747859850562,47.00824031496879,8.984179400833138
413.0,-822.4593345137472,9.350616219094286,-240.35345075459367,9.203306675465274
427.0,1275.3927682615222,9.528800515593353,305.74109103565615,9.339843781891283
441.0,-118.79431276677468,9.651908273565946,-46.896952459872274,9.543029975770207
455.0,-202.58997095648317,9.763997055713762,-84.08681293880763,9.585617693679197
469.0,75.17567711198122,9.944180867349832,-4.159966752165858,9.795553935191231
483.0,-164.0761857101004,10.041780131816315,-64.76995076423174,9.900603461935345
497.0,-253.28916583479122,10.190605640330473,-92.97262008434913,10.015070115505624
511.0,1087.0304836930968,10.336834522017172,270.43257235405093,10.213845758987217
525.0,-711.857444879554,10.485268847707381,-200.21523044593835,10.398486832507938
539.0,-421.62813380596197,10.6447513188677,-157.45493324784707,10.38961461586268
