time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,-1030.9944388343984,1.0196153292366241,-284.9533373488341,1.0143568247048251
21.0,1661.5314669407433,2.053992777496913,448.1816499795608,2.0625774431379305
35.0,-367.606014977466,2.6972276131774624,-79.11422201895877,2.7265797418606734
49.0,-372.5408200290303,3.212879830626897,-96.45344926763669,3.222296904499463
63.0,954.7592515878634,3.748748171107795,274.748778811237,3.7976081798430217
77.0,-860.9169797590753,4.241406949904418,-212.70544570530546,4.278884059882827
91.0,2630.2122368858163,4.647530644115785,748.4409121039386,4.77129703485168
105.0,196.94955187255715,4.941664736101664,129.4154765445953,5.136010041553975
119.0,-1640.7429232523057,5.3031672322570556,-364.28542994902904,5.496897888691395
133.0,1199.360615730881,5.57772290596071,390.6398074502016,5.786476238691025
147.0,-340.55547980562216,5.8269651344825615,-0.9202833246378204,6.088428066307885
161.0,-302.7768292142528,6.052157285153278,-3.4577411393590625,6.280979970771886
175.0,1842.702966518943,6.281079431463689,583.1722950317583,6.575242284353175
189.0,-946.4890009200008,6.517059380430251,-144.855171553771,6.857991798840301
203.0,-182.73301144022193,6.768851121788712,54.000198036971234,7.115205389328676
217.0,1023.201300498419,6.981029318784431,385.72729197268706,7.383264196748523
231.0,180.4806513760116,7.201229387463062,169.14474759048738,7.643892512389136
245.0,372.8651291846944,7.411405275968469,229.76699494141278,7.894922416880152
259.0,-564.3709711181372,7.623498409811588,-19.472888749607524,8.110043429801186
273.0,778.3229499300518,7.764948866092802,350.55935275085386,8.310499237933225
287.0,478.3774886364334,7.90932700315029,287.5800804456655,8.529714668222775
301.0,501.00442933344226,8.072754122031716,321.2799144601338,8.80786840170276
315.0,-184.7643835044441,8.325166624186561,132.04975919327572,9.042535975149315
329.0,15.175060055170004,8.4956242599655,189.2126050600807,9.23644966704616
343.0,658.3748945686918,8.613165032532976,366.539677767014,9.388942503993338
357.0,-467.74877982800905,8.67821029867488,83.5166943704411,9.52203246950475
371.0,940.3268969377153,8.811782586649322,463.10026310731564,9.693507859137403
385.0,-617.2494895529068,9.049473395713544,61.57189110152844,10.001139590460625
399.0,415.7884231701169,9.220326721152249,337.8871678749866,10.2021176153902
413.0,-163.1915973291738,9.343368902325842,186.54653398675745,10.343312797925533
427.0,793.2977271171018,9.52141509476742,446.1092432943994,10.573019585871757
441.0,-117.36940720948063,9.644427436470353,220.0787188567309,10.790661365748951
455.0,284.19589584025255,9.756429342749094,328.7237419062939,10.931450167501469
469.0,842.325290550538,9.936473500577447,492.0136884030579,11.209452139543624
483.0,512.0155379530413,10.033997119464063,419.4221511816828,11.388137525737978
497.0,-422.4263336343439,10.18270727883137,180.4026331121595,11.587083639827508
511.0,318.7545172337121,10.328822823920621,386.01984984557066,11.812694694907272
525.0,658.0813636961474,10.477142103655313,475.13690238524185,11.9897678285826
539.0,-1069.262497460136,10.636500965851212,19.220869494121708,12.192363158363717
