time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,-479.02577295517824,0.9974017923885137,-134.8965295146361,0.9934208673997408
21.0,-638.514819154917,1.9335997983706201,-196.08152787485642,1.9079042943891817
35.0,-61.86164260247632,2.6009301675964975,-48.18309660117986,2.559778448401373
49.0,31.853851569251617,3.1486587006508,-29.694013218976625,3.0892170293721515
63.0,-862.0736685478415,3.623692678391355,-274.4620611170586,3.5400601666614278
77.0,959.9656668728692,4.042055477068128,200.68790698661297,3.932341658327764
91.0,313.37546696184694,4.43336303904449,42.624039175124715,4.342600493412243
105.0,-2327.1779169775846,4.802698827708317,-678.1600937408707,4.6636109260500245
119.0,1750.2604328605473,5.164453463635382,392.2941384996118,4.994528103037822
133.0,-295.5787668511995,5.467410595720565,-134.74794743419903,5.323186057882774
147.0,-1069.2108194187556,5.771599930990392,-374.1700467753085,5.521289653115269
161.0,-188.25833890696995,6.085566123836225,-158.81193443242623,5.767480011680749
175.0,632.5688917800961,6.385051125797114,64.21256886874616,6.0603486993205
189.0,-2751.6592574025717,6.582079627735221,-849.2007396054827,6.194852915599737
203.0,1826.506058499922,6.783873937743104,344.43350052124083,6.3376457109119855
217.0,327.72009292260094,7.050467186964477,-28.036785273499433,6.663966328295186
231.0,-975.801723287892,7.21423112082527,-381.27376499333764,6.7920046860495304
245.0,364.6940383773661,7.4394498646070515,-41.495453664449386,6.952722567764957
259.0,-862.9610500196471,7.682627845823884,-377.3341575774396,7.139428587757963
273.0,-57.12936180360198,7.994442592270393,-182.6351521801779,7.363169910311963
287.0,-1464.386056364815,8.168514634859436,-584.5916119237328,7.4124652087584195
301.0,434.71244570949267,8.31323046553462,-68.77390489888963,7.589240485356151
315.0,-99.62984680511593,8.419665564249824,-199.97835309207872,7.722358208538611
329.0,24.22024223032875,8.634328371709167,-193.468225069102,7.8220489954194825
343.0,-660.8562574709458,8.86164704975839,-384.60671273248204,7.998715383583143
357.0,705.8038901943955,8.972056663846782,-30.41875461004289,8.070066656538085
371.0,69.86488014594087,9.118940207435582,-191.44016725949191,8.23448309988302
385.0,90.35624484365898,9.250413528162515,-178.01745450304784,8.392552762087485
399.0,-1073.902100030623,9.397481406378384,-513.7567395516422,8.412534869127127
413.0,-259.2380603404812,9.61116735861085,-302.4991964830576,8.584448855611857
427.0,-742.1386076212258,9.762827214253598,-438.6049319137573,8.678883751581663
441.0,98.10279758778003,9.875161223347455,-242.21568832556744,8.655504390548924
455.0,-468.89145636710293,9.973165624503288,-386.2021088656041,8.761138638504582
469.0,-40.440125424673084,10.203862362736677,-285.9531219791849,8.90390491009534
483.0,474.20879118846256,10.381557158480847,-147.46131106882783,9.069607353192227
497.0,-904.724173646202,10.558974083325705,-531.7013933807783,9.133569689052788
511.0,520.9130819226474,10.721858053636026,-157.75751172612422,9.25518864471301
525.0,-575.3525320802006,10.856112093854074,-443.95812831414725,9.388602126153476
539.0,-950.4499447475662,11.001106144625124,-572.3297206524034,9.366011685609227
