time line,Change of Energy Intkae (Kcal/d),SE of Delta EI,Change of Energy Expenditure (Kcal/d),SE of Delta EE
7.0,260.64598331308525,1.0141592183818129,74.94139396460666,1.0169279561988873
21.0,125.11415482778295,2.043001561527853,41.97565140358446,2.0522904406156126
35.0,-666.5649356391835,2.6827943534606127,-176.238168505214,2.6871279018012166
49.0,562.4160013661831,3.195687240425047,142.62536815120882,3.190802077583004
63.0,264.31391825954097,3.7286880709878307,79.24302468671074,3.752887098632245
77.0,-703.7867430778125,4.218710560554941,-180.19397032582074,4.2367446916976474
91.0,778.3014369412759,4.62266102743945,212.92920249598055,4.640196628245548
105.0,-378.7359575715033,4.915221164850462,-82.46216623252916,4.960700424951186
119.0,-247.52701636775518,5.274789208240429,-62.340983459814915,5.288582563286794
133.0,-87.05583194521172,5.547875694350885,-24.72855323868545,5.5463125231442225
147.0,553.9715282938583,5.795784191229518,148.12702592273396,5.799934556914218
161.0,-276.79981639021196,6.019771305743496,-58.22643260474035,6.062245178126136
175.0,344.2249364895342,6.247468456144591,102.3702916172621,6.279206483982847
189.0,-513.0579265604251,6.482185641866863,-123.88437580006142,6.517403180342231
203.0,-11.450512992319155,6.732630008765777,-2.3342639071899103,6.735285254714845
217.0,439.63667602069376,6.94367280917556,125.77919230597851,6.977974616412105
231.0,216.85788687194264,7.162694555058827,79.05144998338083,7.247236017234895
245.0,-508.65140471937264,7.371745761624078,-126.89786321365571,7.40300735559211
259.0,49.902159740115216,7.582703954066638,29.763737201914548,7.640586057717168
273.0,522.8050968558509,7.723397488253995,161.2616736851771,7.800291542196342
287.0,-206.09022813746648,7.867003036769304,-33.376602280070344,7.940399099566646
301.0,34.9421954518908,8.02955563321887,29.898147068306056,8.098507614935333
315.0,-206.23281552424612,8.280617439132289,-33.99021482082484,8.346195498316218
329.0,-50.35767231542929,8.450162931154468,2.9555077149481357,8.493917683834423
343.0,202.93106028429466,8.567074725844991,81.48922437375684,8.65359004157166
357.0,219.14410691258738,8.631771925247925,86.01001862721857,8.718046556842372
371.0,-262.3532164712788,8.764629448360141,-43.46809449060319,8.841459229542558
385.0,395.8549801482534,9.00104833911731,138.46400572367236,9.107943161202137
399.0,-452.033361322356,9.170987403405958,-89.23784829004035,9.263663787214048
413.0,193.27113210896366,9.293371167859988,73.86918055519189,9.349399970786228
427.0,548.8065591897324,9.470464609067456,180.2735366865105,9.587821119182596
441.0,-136.5684149978238,9.592818693726192,-2.54383387256425,9.712462290592198
455.0,429.4065343848855,9.704221261412156,156.55126011226,9.870982351044743
469.0,-67.273999324998,9.883301976601206,34.447282009150726,10.101049755943489
483.0,-621.1375499224914,9.980303732329878,-121.30545488244836,10.152194952234456
497.0,108.70299797364191,10.128218121869603,72.53720240710854,10.294513840001889
511.0,296.59426277767824,10.273551781292017,112.50841578506667,10.4062533328373
525.0,-241.86958793557744,10.421077382853243,-27.825487585248712,10.576818419403827
539.0,-159.76592491399006,10.579583492454216,-11.060585342284247,10.720712983959604
